,fi,en,ru,it,sv,ja,pt,es,fr,nl,de,cs,id,zh,vi,th,fa,pl,et,tr,hu,lv,no,la,uk,ko,eo,is,lt,ar,da,ceb,he,ca,nds,el,sr,lang_count,park_id,users,posts
1943,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1943,1,1
1944,127.0,9.0,22.0,1.0,1.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,8,1944,91,172
1945,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1945,2,3
1953,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1953,1,1
1959,267.0,26.0,7.0,1.0,5.0,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1959,182,325
1960,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1960,1,1
1962,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1962,2,2
1965,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1965,1,1
1968,28.0,3.0,4.0,,1.0,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6,1968,37,40
1972,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1972,2,3
1973,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1973,2,2
1976,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1976,1,4
1980,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1980,1,1
1981,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2,1981,19,25
1982,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1982,3,3
1983,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1983,6,6
1984,26.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1984,28,70
1985,14.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1985,20,20
1986,125.0,15.0,14.0,,6.0,,,1.0,1.0,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,9,1986,122,178
1987,83.0,9.0,1.0,,4.0,1.0,,5.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,9,1987,80,108
1988,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1988,4,8
1993,13.0,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1993,16,17
1994,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1994,8,8
1995,110.0,21.0,25.0,7.0,3.0,1.0,1.0,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,10,1995,127,176
2001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2001,3,3
2016,521.0,63.0,5.0,4.0,24.0,3.0,1.0,4.0,7.0,,4.0,,,4.0,,,,2.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,15,2016,488,650
2017,169.0,22.0,31.0,1.0,8.0,,,2.0,5.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,2.0,,,2.0,,12,2017,202,248
6321,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6321,6,7
6322,14.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6322,9,17
6338,127.0,11.0,3.0,1.0,2.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6338,116,149
6339,402.0,35.0,15.0,7.0,8.0,,3.0,1.0,2.0,1.0,4.0,,,,2.0,,,1.0,1.0,,,,,,,,2.0,,1.0,,,,,,,,,15,6339,380,492
6405,62.0,12.0,3.0,8.0,1.0,,,2.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,9,6405,72,97
6406,297.0,196.0,91.0,5.0,5.0,7.0,5.0,2.0,9.0,1.0,2.0,1.0,,9.0,,,,3.0,1.0,4.0,1.0,,,,,2.0,,,,2.0,1.0,,,,1.0,,,21,6406,386,653
6407,4564.0,2756.0,1945.0,212.0,152.0,228.0,185.0,282.0,154.0,31.0,187.0,30.0,14.0,140.0,6.0,15.0,3.0,18.0,18.0,59.0,14.0,1.0,9.0,9.0,14.0,94.0,6.0,5.0,10.0,16.0,22.0,10.0,6.0,19.0,27.0,4.0,2.0,37,6407,7403,11651
6408,2039.0,633.0,353.0,36.0,42.0,60.0,15.0,59.0,31.0,9.0,59.0,4.0,1.0,26.0,3.0,5.0,1.0,2.0,5.0,9.0,1.0,1.0,4.0,,5.0,23.0,,,,2.0,3.0,1.0,1.0,2.0,4.0,,,31,6408,2373,3539
6409,66.0,8.0,1.0,3.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,6,6409,72,83
6417,64.0,10.0,1.0,,2.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6417,65,83
6419,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6419,3,22
6674,285.0,61.0,8.0,,3.0,,,7.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,9,6674,271,378
6675,86.0,6.0,2.0,,,,,2.0,,,,23.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6,6675,37,121
9668,20.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9668,20,22
9674,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9674,1,1
9907,35.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9907,30,36
9908,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9908,1,1
9909,21.0,1.0,4.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,6,9909,23,29
9911,6.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4,9911,9,14
9912,13.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9912,15,16
10371,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10371,3,3
10384,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10384,7,8
10385,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10385,4,4
10453,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2,10453,3,3
10777,62.0,6.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10777,57,73
10778,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10778,3,3
11395,90.0,9.0,14.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11395,78,119
11485,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11485,3,4
11872,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11872,3,5
11929,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11929,6,7
11930,2.0,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11930,4,11
11931,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11931,3,3
11939,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11939,1,1
11977,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11977,3,3
11980,23.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11980,22,26
11984,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11984,4,4
11985,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11985,3,5
11996,11.0,2.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11996,14,17
11998,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11998,2,2
